#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "SEAMAP:  Zooplankton biomass data sampled by the SouthEast Area Monitoring and Assessment Program (SEAMAP)"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  14-Sep-2017  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05201/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
316O-080614,2008,  6, 14,  3.530, 21.530,  29.243, -88.489,    0.0,   96.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        137. m3,            64.,   ml/haul,         0.4672,ml/m3, 0, 0, 0,-1,          219.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,SEAMAP, 2513,  565, 1185,282,             16,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 14, 10.520,  4.520,  29.033, -88.994,    0.0,   89.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        145. m3,            60.,   ml/haul,         0.4138,ml/m3, 0, 0, 0,-1,          205.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,SEAMAP, 2513,  565, 1185,282,             19,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 16,  6.980,  0.983,  26.043, -96.415,    0.0,   62.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        106. m3,            12.,   ml/haul,         0.1132,ml/m3, 0, 0, 0,-1,           41.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,SEAMAP, 2513,  565, 1185,282,             20,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 16, 13.920,  7.920,  26.504, -96.499,    0.0,   84.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        157. m3,            28.,   ml/haul,         0.1783,ml/m3, 0, 0, 0,-1,           95.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,SEAMAP, 2513,  565, 1185,282,             23,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 17,  2.070, 20.070,  26.006, -97.041,    0.0,   21.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         47. m3,            10.,   ml/haul,          0.213,ml/m3, 0, 0, 0,-1,           34.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,SEAMAP, 2513,  565, 1185,282,             28,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 17, 10.730,  4.730,  26.371, -96.754,    0.0,   36.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         95. m3,            50.,   ml/haul,          0.526,ml/m3, 0, 0, 0,-1,          171.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,SEAMAP, 2513,  565, 1185,282,             33,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 18, 19.230, 13.230,  26.989, -96.668,    0.0,   86.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        104. m3,            12.,   ml/haul,         0.1154,ml/m3, 0, 0, 0,-1,           41.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,SEAMAP, 2513,  565, 1185,282,             47,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 20,  0.030, 18.030,  27.495, -97.000,    0.0,   25.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         29. m3,             8.,   ml/haul,          0.276,ml/m3, 0, 0, 0,-1,           27.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,SEAMAP, 2513,  565, 1185,282,             60,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 20,  7.470,  1.470,  26.985, -97.190,    0.0,   25.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         63. m3,            22.,   ml/haul,          0.349,ml/m3, 0, 0, 0,-1,           75.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,SEAMAP, 2513,  565, 1185,282,             63,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 20, 17.630, 11.630,  27.494, -96.496,    0.0,   69.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         66. m3,            24.,   ml/haul,          0.364,ml/m3, 0, 0, 0,-1,           82.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,SEAMAP, 2513,  565, 1185,282,             68,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 21, 20.570, 14.570,  27.997, -95.996,    0.0,   43.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         58. m3,             4.,   ml/haul,          0.069,ml/m3, 0, 0, 0,-1,           13.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,SEAMAP, 2513,  565, 1185,282,             78,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 22,  1.800, 19.800,  28.051, -96.522,    0.0,   21.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         35. m3,            12.,   ml/haul,          0.343,ml/m3, 0, 0, 0,-1,           41.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0012_0001,SEAMAP, 2513,  565, 1185,282,             80,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 23, 12.300,  6.300,  28.508, -95.921,    0.0,   14.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         50. m3,            20.,   ml/haul,          0.400,ml/m3, 0, 0, 0,-1,           68.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0013_0001,SEAMAP, 2513,  565, 1185,282,             97,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 23, 18.380, 12.380,  28.587, -95.519,    0.0,   21.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         54. m3,            40.,   ml/haul,          0.741,ml/m3, 0, 0, 0,-1,          137.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0014_0001,SEAMAP, 2513,  565, 1185,282,            100,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 26, 13.020,  7.020,  28.507, -95.088,    0.0,   30.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         78. m3,            12.,   ml/haul,          0.154,ml/m3, 0, 0, 0,-1,           41.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0015_0001,SEAMAP, 2513,  565, 1185,282,            110,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 26, 19.380, 13.380,  29.014, -94.989,    0.0,   16.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         25. m3,             4.,   ml/haul,          0.160,ml/m3, 0, 0, 0,-1,           13.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0016_0001,SEAMAP, 2513,  565, 1185,282,            112,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 28,  4.400, 22.400,  28.001, -95.494,    0.0,   52.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        107. m3,            16.,   ml/haul,         0.1495,ml/m3, 0, 0, 0,-1,           54.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0017_0001,SEAMAP, 2513,  565, 1185,282,            125,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  6, 28, 14.850,  8.850,  28.001, -95.003,    0.0,   76.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        158. m3,            16.,   ml/haul,         0.1013,ml/m3, 0, 0, 0,-1,           54.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0018_0001,SEAMAP, 2513,  565, 1185,282,            128,Zooplankton displacement volume,-[ ]-,
