network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2008-07-01T00:00:00Z,2.141,5.76,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2008-07-01T00:00:00Z,5.375,6.68,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2008-07-01T00:00:00Z,1.61,6.34,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2008-07-01T00:00:00Z,1.98,4.79,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2008-07-01T00:00:00Z,2.203,6.52,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2008-07-01T00:00:00Z,1.33,7.75,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2008-07-01T00:00:00Z,2.11,4.5,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T00:03:00Z,2.99,4.72,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T00:05:00Z,2.455,5.7,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T00:07:00Z,1.987,6.03,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T00:10:00Z,1.45,6.11,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T00:12:00Z,0.986,6.17,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T00:15:00Z,0.431,6.13,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2008-07-01T00:30:00Z,2.103,5.61,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2008-07-01T00:30:00Z,5.277,6.58,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2008-07-01T01:00:00Z,2.069,5.52,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2008-07-01T01:00:00Z,5.222,6.41,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2008-07-01T01:00:00Z,1.79,6.1,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2008-07-01T01:00:00Z,2.07,4.79,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2008-07-01T01:00:00Z,2.389,6.84,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2008-07-01T01:00:00Z,1.44,6.78,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2008-07-01T01:00:00Z,2.07,4.44,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T01:03:00Z,2.969,4.19,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T01:05:00Z,2.517,5.78,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T01:07:00Z,1.991,6.33,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T01:10:00Z,1.467,6.52,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T01:12:00Z,0.953,6.83,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T01:15:00Z,0.561,6.79,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2008-07-01T01:30:00Z,2.076,5.14,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2008-07-01T01:30:00Z,5.313,6.33,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2008-07-01T02:00:00Z,2.116,5.41,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2008-07-01T02:00:00Z,5.393,6.06,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2008-07-01T02:00:00Z,1.941,6.02,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2008-07-01T02:00:00Z,2.18,4.72,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2008-07-01T02:00:00Z,2.494,7.06,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2008-07-01T02:00:00Z,1.569,6.39,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2008-07-01T02:00:00Z,2.039,4.28,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T02:03:00Z,2.969,4.25,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T02:05:00Z,2.517,5.09,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2008-07-01T02:07:00Z,1.993,5.2,1111122 
